Company Name,Industry,HQ Location,Employee Size,Revenue Band,Product/Service,Founder Active on LinkedIn?,Decision Maker Name,Role,LinkedIn Presence Score,C1_Innovation_Culture,C2_Team_Size_Fit,C3_DM_LinkedIn_Access,C4_Budget_Ready,C5_Personalization_Hook,C6_Domain_Alignment,Total Score,Final Verdict,Personalization Hook,Reason for Selection,Website,LinkedIn URL,Source Links,Source Verified,Last Checked Date
Growpital,AgriTech / AltInvestment,"Jaipur, Rajasthan",11–50,₹10–100 Cr,Agri-investment platform (passive farming for retail investors),Yes,Rituraj Sharma,Founder & CEO,4,4,3,4,3,5,4,23,HOT,Existing DT client — worth deepening the relationship. The post-SEBI situation makes structured capability building more relevant.,"Growpital is already on DT's radar, so this is more of an account expansion opportunity than a cold outbound target.",https://growpital.com/,https://www.linkedin.com/company/growpital/,https://growpital.com/ | https://www.cbinsights.com/company/growpital | https://www.f6s.com/company/growpital,Partial,2026-05-11
Classplus,EdTech SaaS,"Noida, UP",501–1000,₹100–500 Cr,White-label app platform for coaching institutes and tutors,Yes,Mukul Rustagi,Co-Founder & CEO,5,4,4,5,4,4,5,26,HOT,"The founder is active online and the company is scaling quickly, so outreach can be personalized easily.","Classplus is a good fit because it already runs at scale, has a large product team, and works in a market where structured learning can matter inside both the company and its customer workflows.",https://classplusapp.com/,https://in.linkedin.com/company/classplus,https://classplusapp.com/ | https://in.linkedin.com/company/classplus,Yes,2026-05-11
Newton School,EdTech / Bootcamp,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Coding bootcamp with ISA model for software engineering placements,Yes,Siddharth Maheshwari,Co-Founder & CEO,4,4,4,4,3,4,5,24,HOT,Fellow bootcamp model company — DT can position its SD LMS as an upgrade to traditional bootcamp curriculum delivery.,"Direct competitor in DT's space, so it helps to understand their model and position DT more clearly.",https://www.newtonschool.co/,https://in.linkedin.com/school/newtonschool/,https://www.newtonschool.co/ | https://in.linkedin.com/school/newtonschool/,Yes,2026-05-11
Masai School,EdTech / Bootcamp,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Intensive tech bootcamp with income share agreement model,Yes,Prateek Shukla,Co-Founder & CEO,5,4,4,5,3,4,5,25,HOT,Highly vocal founder on LinkedIn. DT can reach out with a Socratic learning differentiation angle — directly relevant to their curriculum challenges.,ISA model company in EdTech space; team development methodology is directly relevant.,https://masaischool.com/,https://in.linkedin.com/school/masaischool/,https://masaischool.com/ | https://in.linkedin.com/school/masaischool/,Yes,2026-05-11
Darwinbox,HRTech SaaS,"Hyderabad, Telangana",501–1000,₹100–500 Cr,Modern HR management platform (HRMS) for enterprises,Yes,Rohit Chennamaneni,Co-Founder & CEO,4,5,4,4,5,3,3,24,HOT,HRTech company — connection through HR's role in employee learning & development. DT's platform fits L&D budgets.,"Series D company with a Hyderabad HQ, so outreach is easier and the fit is warm.",https://www.darwinbox.com/,https://in.linkedin.com/company/darwinbox/,https://www.darwinbox.com/ | https://in.linkedin.com/company/darwinbox/,Yes,2026-05-11
Keka HR,HRTech SaaS,"Hyderabad, Telangana",201–500,₹50–100 Cr,HR & Payroll SaaS platform for SMBs in India,Yes,Vijay Yalamanchili,Founder & CEO,4,4,4,4,4,4,3,23,HOT,Bootstrapped SaaS company with strong product culture — DT can pitch team innovation culture building. Same city (Hyderabad) as DT.,Hyderabad connection makes outreach easier. Bootstrapped companies are usually more careful on spend but still value practical improvements.,https://www.keka.com/,https://in.linkedin.com/company/keka-hr/,https://www.keka.com/ | https://in.linkedin.com/company/keka-hr/,Yes,2026-05-11
BetterPlace Safety,HRTech / Blue Collar,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Digital identity and workforce management platform for blue-collar workers,Yes,Pravin Agarwala,Co-Founder & CEO,3,3,3,3,3,3,3,18,WARM,Blue-collar workforce upskilling — DT's accessible learning model aligns. Moderate fit.,"Relevant, but farther from DT's core sweet spot around product innovation teams.",https://www.mybetterplace.com/,https://in.linkedin.com/company/mybetterplace,https://www.mybetterplace.com/ | https://in.linkedin.com/company/mybetterplace | https://in.linkedin.com/company/mybetterplace?trk=public_profile_topcard-current-company,Yes,2026-05-11
Jar App,Consumer FinTech,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Micro-savings app — automates spare change investment into digital gold,Yes,Nishchay AG,Co-Founder & CEO,5,4,4,5,4,4,3,24,HOT,Very active founder on LinkedIn and Twitter. Product team growing fast — DT can pitch structured product-innovation grooming as they scale.,Series B fintech with a fast-growing product team and a founder who is reasonably visible.,https://www.myjar.app/,https://in.linkedin.com/company/jarapp,https://www.myjar.app/ | https://in.linkedin.com/company/jarapp,Yes,2026-05-11
Refyne,FinTech / Earned Wage Access,"Bengaluru, Karnataka",51–200,₹10–50 Cr,On-demand salary platform — employees access earned wages before payday,Yes,Chitresh Sharma,Co-Founder & CEO,3,3,3,3,3,3,3,18,WARM,Financial wellness platform — DT's innovation culture angle fits HR tech adjacent sector. Moderate potential.,"Included for sector coverage, but it is lower priority than the stronger fintech fits.",https://www.refyne.co.in/,https://in.linkedin.com/company/refyne-india,https://www.refyne.co.in/ | https://in.linkedin.com/company/refyne-india,Yes,2026-05-11
Fi Money (Epifi Tech),FinTech / Neobank,"Bengaluru, Karnataka",201–500,₹50–100 Cr,Salary account and personal finance management app for millennials,Yes,Sujith Narayanan,Co-Founder & CEO,4,5,4,4,4,4,3,24,HOT,Ex-Google/PhonePe founders — very innovation-conscious leadership. DT pitch: build the next-gen product team through structured grooming.,Strong fintech brand with founders used to structured execution and scale.,https://fi.money/,https://in.linkedin.com/company/fi-money,https://fi.money/ | https://in.linkedin.com/company/fi-money,Yes,2026-05-11
Learnapp,FinTech EdTech,"Mumbai, Maharashtra",11–50,₹1–10 Cr,Financial literacy and investing courses for Indian retail investors,Yes,Prateek Singh,Founder & CEO,5,3,3,5,2,4,4,21,WARM,Very active on social media — high personalization opportunity. Overlaps with DT's learning-platform space. Budget may be limited at current stage.,"Founder visibility is good, and the company is useful as a warm outreach target.",https://learnapp.com/,https://in.linkedin.com/company/learnapp,https://learnapp.com/ | https://in.linkedin.com/company/learnapp,Yes,2026-05-11
Plum Benefits,InsurTech / HRTech,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Group health insurance platform for startups and SMBs,Yes,Abhishek Poddar,Co-Founder & CEO,4,4,3,4,3,3,3,20,WARM,InsurTech startup with product-minded team. DT pitch: structured product-innovation methodology for their expanding engineering team.,Growing insurtech with a visible product culture.,https://www.plumhq.com/,https://in.linkedin.com/company/plumhq/,https://www.plumhq.com/ | https://in.linkedin.com/company/plumhq/,Yes,2026-05-11
Zaggle Prepaid,FinTech / SaaS,"Hyderabad, Telangana",201–500,₹100–500 Cr,Corporate expense management and rewards platform (BSE listed),Yes,Raj Narayanam,Founder & Executive Chairman,3,3,4,3,4,4,3,21,WARM,Hyderabad HQ (same city as DT) — strong local connection. Listed company = larger L&D budget available.,Hyderabad company with better budget readiness and an easy local outreach angle.,https://www.zaggle.in/,https://in.linkedin.com/company/zaggleapp,https://www.zaggle.in/ | https://in.linkedin.com/company/zaggleapp,Yes,2026-05-11
Scaler Academy,EdTech / Bootcamp,"Bengaluru, Karnataka",201–500,₹50–200 Cr,"Tech upskilling platform for software engineers (courses, mentorship)",Yes,Abhimanyu Saxena,Co-Founder,5,5,4,5,4,4,5,27,HOT,EdTech in tech-upskilling space — very high domain alignment. DT can pitch the Socratic method as an academic differentiator for their curriculum.,Top-tier EdTech company with strong product-innovation culture. Very high alignment with DT's mission.,https://www.scaler.com/,https://in.linkedin.com/school/scalerofficial/,https://www.scaler.com/ | https://in.linkedin.com/school/scalerofficial/,Yes,2026-05-11
Teachmint,EdTech SaaS,"Bengaluru, Karnataka",201–500,₹10–50 Cr,Integrated classroom solution for teachers and students,Yes,Mihir Gupta,Co-Founder & CEO,4,4,4,4,3,4,5,24,HOT,EdTech infrastructure company — directly in DT's space. Personalization: DT's Socratic LMS could be a white-label product offering through Teachmint.,Strong domain fit; could work as both a client and a possible integration partner.,https://www.teachmint.com/,https://in.linkedin.com/company/teachmint/,https://www.teachmint.com/ | https://in.linkedin.com/company/teachmint/,Yes,2026-05-11
Zolve,FinTech / NRI Banking,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Cross-border banking for Indians relocating to the US (NRI fintech),Yes,Raghunandan G,Founder & CEO,4,4,3,4,4,3,3,21,WARM,Ex-Ola founder building FinTech — strong innovation DNA. DT pitch: build the same culture that enabled Ola's early product teams.,Well-known founder with a strong startup track record.,https://www.zolve.com/,https://www.linkedin.com/company/zolve-official/,https://www.zolve.com/ | https://www.linkedin.com/company/zolve-official/,Yes,2026-05-11
Uolo Technologies,EdTech / School Tech,"Bengaluru, Karnataka",51–200,₹1–10 Cr,Parent-teacher communication and school operations platform,Yes,Ankit Agarwal,Co-Founder & CEO,3,3,3,3,2,4,5,20,WARM,School tech platform — extremely direct domain overlap with DT's goal of transforming schools. Strong mission alignment hook.,High domain alignment on DT's mission (school transformation). Lower budget readiness limits priority.,https://www.theuolo.com/,https://in.linkedin.com/company/theuolo1,https://www.theuolo.com/ | https://in.linkedin.com/company/theuolo1,Yes,2026-05-11
Sunstone Education,EdTech / Higher Education,"Gurugram, Haryana",201–500,₹50–100 Cr,Income share agreement model for MBA/management college students,Yes,Ashish Munjal,Co-Founder & CEO,4,4,4,4,4,4,4,24,HOT,ISA model for MBA programs — DT's research culture platform adds direct value to their curriculum and institution-building goals.,Strong fit across multiple dimensions. Higher education plus innovation focus lines up well with DT's long-term direction.,https://sunstone.in/,https://in.linkedin.com/school/sunstone-/,https://sunstone.in/ | https://in.linkedin.com/school/sunstone-/,Yes,2026-05-11
Fynd (Shopsense AI),Retail Tech / AI,"Mumbai, Maharashtra",201–500,₹50–100 Cr,Omnichannel retail technology and AI-powered commerce platform,Yes,Harsh Shah,Co-Founder & CEO,4,5,4,4,4,3,3,23,HOT,Tech-first retail company backed by Reliance — innovation-driven culture. DT pitch: product team grooming for their AI/tech transition.,Strong innovation culture; Reliance backing ensures budget. Lower domain alignment than EdTech targets.,https://www.fynd.com/,https://in.linkedin.com/company/fynd/,https://www.fynd.com/ | https://in.linkedin.com/company/fynd/,Yes,2026-05-11
HealthifyMe,HealthTech / Consumer,"Bengaluru, Karnataka",201–500,₹50–100 Cr,AI-powered nutrition and fitness coaching app,Yes,Tushar Vashisht,Co-Founder & CEO,4,4,4,4,4,3,3,22,HOT,Consumer health AI company with documented product culture. DT pitch: structured problem-solving framework for product teams building AI features.,"Well-funded with a visible product culture, though the domain is outside DT's core EdTech focus.",https://www.healthifyme.com/,https://in.linkedin.com/company/healthifyme,https://www.healthifyme.com/ | https://in.linkedin.com/company/healthifyme,Yes,2026-05-11
Leadsquared,SaaS / CRM,"Bengaluru, Karnataka",501–1000,₹100–500 Cr,Sales execution CRM platform for high-velocity B2B and B2C sales teams,Yes,Nilesh Patel,Co-Founder & CEO,3,3,4,3,5,3,3,21,WARM,EdTech CRM — serves the same schools/colleges DT targets. Potential partnership angle: integrate DT's platform data into LeadSquared workflows.,"Large team and budget, though the innovation-culture fit is weaker.",https://www.leadsquared.com/,https://in.linkedin.com/company/leadsquared,https://www.leadsquared.com/ | https://in.linkedin.com/company/leadsquared,Yes,2026-05-11
Kringle.ai,LoyaltyTech / FinTech,"Hyderabad, Telangana",11–50,₹1–10 Cr,AI-powered loyalty and rewards platform for businesses,Yes,Undisclosed (Early Stage),Founder,2,4,3,2,2,5,4,20,WARM,Existing DT CultureTech client. Highest personalization — known relationship. Limited budget as early-stage startup.,Named DT client on Internshala profile. Included for completeness and relationship mapping.,https://kringle.ai/,https://in.linkedin.com/company/kringle-ai,https://kringle.ai/ | https://in.linkedin.com/company/kringle-ai,Yes,2026-05-11
IPx (Ippopay),FinTech / Payments,"Chennai, Tamil Nadu",11–50,₹1–10 Cr,Payment infrastructure and UPI stack for businesses,Yes,Eswar M,Founder & CEO,3,4,3,3,2,5,3,20,WARM,Named DT client on Internshala profile. High personalization — existing relationship should be nurtured before expanding.,Confirmed DT client. Included for account expansion analysis.,https://www.ippopay.com/,https://in.linkedin.com/company/officialippopay,https://www.ippopay.com/ | https://in.linkedin.com/company/officialippopay,Yes,2026-05-11
Avail Finance,FinTech / Blue Collar Credit,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Credit and financial services platform for blue-collar and gig workers,Yes,Ankush Aggarwal,Co-Founder & CEO,3,3,3,3,3,3,2,17,WARM,Blue-collar FinTech — lower domain alignment but growing product team. Lower priority.,Sector diversity inclusion. Lower priority for DT given product innovation culture mismatch.,https://www.availfinance.in/,https://www.linkedin.com/company/avail-finance/,https://www.availfinance.in/ | https://www.cbinsights.com/company/avail-finance | https://craft.co/avail-finance,Partial,2026-05-11
Leverage Edu,EdTech / Study Abroad,"New Delhi, Delhi",201–500,₹50–100 Cr,AI-powered platform for study abroad counselling and university admissions,Yes,Akshay Chaturvedi,Founder & CEO,5,4,4,5,4,4,4,25,HOT,Highly active founder on LinkedIn — publishes regularly on EdTech and education policy. Strong reach potential with DT's research-culture positioning.,"High founder visibility, strong EdTech fit, growing team needing structured development methodology.",https://leverageedu.com/,https://in.linkedin.com/company/leverage-edu,https://leverageedu.com/ | https://in.linkedin.com/company/leverage-edu,Yes,2026-05-11
